State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Telangana,KARIMNAGAR,Castor seed,,Kharif,66,Hectare,38,Tonnes,0.575757576
Telangana,KARIMNAGAR,Castor seed,,Kharif,78,Hectare,28,Tonnes,0.358974359
Telangana,KARIMNAGAR,Castor seed,,Rabi,21,Hectare,8,Tonnes,0.380952381
Telangana,MAHBUBNAGAR,Castor seed,,Kharif,71737,Hectare,52727,Tonnes,0.735004252
Telangana,MAHBUBNAGAR,Castor seed,,Rabi,132,Hectare,97,Tonnes,0.734848485
Telangana,MAHBUBNAGAR,Castor seed,,Kharif,47574,Hectare,27878,Tonnes,0.585992349
Telangana,MAHBUBNAGAR,Castor seed,,Rabi,422,Hectare,247,Tonnes,0.585308057
Telangana,MAHBUBNAGAR,Castor seed,,Kharif,45679,Hectare,16353,Tonnes,0.357998205
Telangana,MAHBUBNAGAR,Castor seed,,Rabi,178,Hectare,64,Tonnes,0.359550562
Telangana,MEDAK,Castor seed,,Kharif,172,Hectare,122,Tonnes,0.709302326
Telangana,MEDAK,Castor seed,,Rabi,1216,Hectare,860,Tonnes,0.707236842
Telangana,MEDAK,Castor seed,,Kharif,423,Hectare,244,Tonnes,0.576832151
Telangana,MEDAK,Castor seed,,Rabi,563,Hectare,325,Tonnes,0.577264654
Telangana,MEDAK,Castor seed,,Kharif,385,Hectare,138,Tonnes,0.358441558
Telangana,MEDAK,Castor seed,,Rabi,389,Hectare,139,Tonnes,0.357326478
Telangana,NALGONDA,Castor seed,,Kharif,2950,Hectare,679,Tonnes,0.230169492
Telangana,NALGONDA,Castor seed,,Kharif,475,Hectare,84,Tonnes,0.176842105
Telangana,NALGONDA,Castor seed,,Rabi,12,Hectare,2,Tonnes,0.166666667
Telangana,NALGONDA,Castor seed,,Kharif,226,Hectare,26,Tonnes,0.115044248
Telangana,NALGONDA,Castor seed,,Rabi,11,Hectare,1,Tonnes,0.090909091
Telangana,NIZAMABAD,Castor seed,,Kharif,20,Hectare,14,Tonnes,0.7
Telangana,NIZAMABAD,Castor seed,,Kharif,2,Hectare,1,Tonnes,0.5
Telangana,NIZAMABAD,Castor seed,,Rabi,2,Hectare,1,Tonnes,0.5
Telangana,RANGAREDDI,Castor seed,,Kharif,2982,Hectare,1619,Tonnes,0.542924212
Telangana,RANGAREDDI,Castor seed,,Kharif,749,Hectare,278,Tonnes,0.371161549
